Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649800k(192315768k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-02-22T00:00:02.655+0100: 1.286: [GC (Metadata GC Threshold) [PSYoungGen: 325382K->19419K(611840K)] 325382K->19507K(2010112K), 0.0187465 secs] [Times: user=0.18 sys=0.02, real=0.02 secs] 
2021-02-22T00:00:02.674+0100: 1.305: [Full GC (Metadata GC Threshold) [PSYoungGen: 19419K->0K(611840K)] [ParOldGen: 88K->18192K(840192K)] 19507K->18192K(1452032K), [Metaspace: 20795K->20795K(22528K)], 0.0236386 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
2021-02-22T00:00:03.522+0100: 2.154: [GC (Allocation Failure) [PSYoungGen: 524800K->37329K(864256K)] 542992K->55529K(1704448K), 0.0304753 secs] [Times: user=0.66 sys=0.01, real=0.03 secs] 
2021-02-22T00:00:03.596+0100: 2.228: [GC (Metadata GC Threshold) [PSYoungGen: 59053K->25817K(1086976K)] 77254K->44026K(1927168K), 0.0167342 secs] [Times: user=0.54 sys=0.02, real=0.02 secs] 
2021-02-22T00:00:03.613+0100: 2.245: [Full GC (Metadata GC Threshold) [PSYoungGen: 25817K->0K(1086976K)] [ParOldGen: 18208K->30971K(995840K)] 44026K->30971K(2082816K), [Metaspace: 34885K->34885K(36864K)], 0.0251168 secs] [Times: user=0.26 sys=0.02, real=0.03 secs] 
2021-02-22T00:00:04.492+0100: 3.124: [GC (Allocation Failure) [PSYoungGen: 999936K->87024K(1620992K)] 1030907K->176423K(2616832K), 0.0247257 secs] [Times: user=0.71 sys=0.08, real=0.02 secs] 
2021-02-22T00:00:06.613+0100: 5.245: [GC (Allocation Failure) [PSYoungGen: 1620976K->87024K(1620992K)] 1710375K->321459K(2616832K), 0.0225738 secs] [Times: user=0.65 sys=0.16, real=0.02 secs] 
2021-02-22T00:00:09.461+0100: 8.093: [GC (Allocation Failure) [PSYoungGen: 1620976K->100945K(2746368K)] 1855411K->335387K(3742208K), 0.0349037 secs] [Times: user=0.75 sys=0.06, real=0.03 secs] 
2021-02-22T00:00:09.563+0100: 8.195: [GC (Metadata GC Threshold) [PSYoungGen: 952614K->94258K(2834432K)] 1187057K->328709K(3830272K), 0.0213395 secs] [Times: user=0.59 sys=0.03, real=0.02 secs] 
2021-02-22T00:00:09.584+0100: 8.216: [Full GC (Metadata GC Threshold) [PSYoungGen: 94258K->0K(2834432K)] [ParOldGen: 234450K->319726K(1511424K)] 328709K->319726K(4345856K), [Metaspace: 58158K->58083K(59392K)], 0.1141160 secs] [Times: user=2.43 sys=0.20, real=0.12 secs] 
2021-02-22T00:00:15.024+0100: 13.656: [GC (Allocation Failure) [PSYoungGen: 2616832K->15456K(4740608K)] 2936558K->335190K(6252032K), 0.0120463 secs] [Times: user=0.23 sys=0.02, real=0.01 secs] 
2021-02-22T00:00:30.063+0100: 28.694: [GC (Allocation Failure) [PSYoungGen: 4649056K->35191K(4836864K)] 4968790K->354934K(6348288K), 0.0201211 secs] [Times: user=0.29 sys=0.04, real=0.02 secs] 
2021-02-22T00:00:41.207+0100: 39.839: [GC (Allocation Failure) [PSYoungGen: 4668791K->34030K(6494720K)] 4988534K->363176K(8006144K), 0.0155504 secs] [Times: user=0.28 sys=0.03, real=0.02 secs] 
