timestamp,socket_0,socket_0_TSENT,socket_0_TSENTSEC,socket_0_TTHSENTSEC,socket_0_TTHSENT,socket_status_0,TMSG,TOSEND,SENT,TMSGSEC,TTHMSGSEC,AVG,THtotalsent,ackSent,state,globalState,THloss
1,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
2,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
3,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
4,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
5,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
6,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
7,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
8,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
9,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
10,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
11,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
12,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
13,0,32277,32277,295.63,295.63,2,32277,0,32277,32277,295.63,22.74,295.63,0,0.00,8.00,0.00
14,0,141917,109640,1004.20,1299.83,2,141917,0,141917,109640,1004.20,92.85,1299.83,0,0.00,8.00,0.00
15,0,191924,50007,458.02,1757.85,2,191924,0,191924,50007,458.02,117.19,1757.85,0,0.00,8.00,0.00
16,0,224263,32339,296.20,2054.04,2,224263,0,224263,32339,296.20,128.38,2054.04,0,0.00,8.00,0.00
17,0,256268,32005,293.14,2347.18,2,256268,0,256268,32005,293.14,138.07,2347.18,0,0.00,8.00,0.00
18,0,262081,5813,53.24,2400.42,2,273085,11004,262081,5813,53.24,133.36,2400.42,0,0.00,8.00,0.00
