Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(185731884k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-04-01T07:13:11.549+0200: 1.330: [GC (Metadata GC Threshold) [PSYoungGen: 325382K->19382K(611840K)] 325382K->19470K(2010112K), 0.0180827 secs] [Times: user=0.17 sys=0.01, real=0.02 secs] 
2021-04-01T07:13:11.567+0200: 1.348: [Full GC (Metadata GC Threshold) [PSYoungGen: 19382K->0K(611840K)] [ParOldGen: 88K->18193K(882688K)] 19470K->18193K(1494528K), [Metaspace: 20792K->20792K(22528K)], 0.0320142 secs] [Times: user=0.58 sys=0.02, real=0.03 secs] 
2021-04-01T07:13:12.410+0200: 2.191: [GC (Allocation Failure) [PSYoungGen: 524800K->36573K(802816K)] 542993K->54775K(1685504K), 0.0233245 secs] [Times: user=0.43 sys=0.01, real=0.03 secs] 
2021-04-01T07:13:12.460+0200: 2.241: [GC (Metadata GC Threshold) [PSYoungGen: 56972K->24648K(1086464K)] 75173K->42857K(1969152K), 0.0157306 secs] [Times: user=0.40 sys=0.01, real=0.01 secs] 
2021-04-01T07:13:12.476+0200: 2.257: [Full GC (Metadata GC Threshold) [PSYoungGen: 24648K->0K(1086464K)] [ParOldGen: 18209K->30004K(1044480K)] 42857K->30004K(2130944K), [Metaspace: 34886K->34886K(36864K)], 0.0292146 secs] [Times: user=0.39 sys=0.02, real=0.03 secs] 
2021-04-01T07:13:13.142+0200: 2.923: [GC (Allocation Failure) [PSYoungGen: 999424K->87037K(1504256K)] 1029428K->176018K(2548736K), 0.0332051 secs] [Times: user=0.76 sys=0.13, real=0.03 secs] 
2021-04-01T07:13:15.374+0200: 5.155: [GC (GCLocker Initiated GC) [PSYoungGen: 1501765K->87034K(1504256K)] 1594843K->324348K(2548736K), 0.0557214 secs] [Times: user=1.60 sys=0.17, real=0.05 secs] 
2021-04-01T07:13:16.939+0200: 6.720: [GC (Allocation Failure) [PSYoungGen: 1504250K->98199K(2568704K)] 1741572K->335529K(3613184K), 0.0217398 secs] [Times: user=0.46 sys=0.06, real=0.03 secs] 
2021-04-01T07:13:20.811+0200: 10.592: [GC (Allocation Failure) [PSYoungGen: 2533271K->102785K(2651648K)] 2770601K->340130K(3696128K), 0.0206944 secs] [Times: user=0.51 sys=0.08, real=0.02 secs] 
2021-04-01T07:13:24.247+0200: 14.028: [GC (Metadata GC Threshold) [PSYoungGen: 1478485K->53821K(3959296K)] 1715831K->342997K(5003776K), 0.0224619 secs] [Times: user=0.50 sys=0.04, real=0.02 secs] 
2021-04-01T07:13:24.270+0200: 14.051: [Full GC (Metadata GC Threshold) [PSYoungGen: 53821K->0K(3959296K)] [ParOldGen: 289176K->328869K(1671168K)] 342997K->328869K(5630464K), [Metaspace: 58208K->58175K(59392K)], 0.1248754 secs] [Times: user=2.12 sys=0.07, real=0.13 secs] 
2021-04-01T07:13:32.596+0200: 22.377: [GC (Allocation Failure) [PSYoungGen: 3905024K->17456K(4105216K)] 4233893K->346334K(5776384K), 0.0194783 secs] [Times: user=0.29 sys=0.00, real=0.02 secs] 
2021-04-01T07:13:40.090+0200: 29.871: [GC (Allocation Failure) [PSYoungGen: 3922822K->24279K(5220352K)] 4251700K->353165K(6891520K), 0.0360835 secs] [Times: user=1.05 sys=0.04, real=0.04 secs] 
