timestamp,socket_0,socket_0_TSENT,socket_0_TSENTSEC,socket_0_TTHSENTSEC,socket_0_TTHSENT,socket_status_0,TMSG,TOSEND,SENT,TMSGSEC,TTHMSGSEC,AVG,THtotalsent,ackSent,state,globalState,THloss
1,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
2,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
3,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
4,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
5,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
6,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
7,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
8,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
9,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
10,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
11,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
12,0,0,0,0.00,0.00,2,0,0,0,0,0.00,0.00,0.00,0,0.00,8.00,0.00
13,0,39239,39239,359.39,359.39,2,39239,0,39239,39239,359.39,27.65,359.39,0,0.00,8.00,0.00
14,0,150139,110900,1015.74,1375.14,2,150139,0,150139,110900,1015.74,98.22,1375.14,0,0.00,8.00,0.00
15,0,192266,42127,385.84,1760.98,2,192266,0,192266,42127,385.84,117.40,1760.98,0,0.00,8.00,0.00
16,0,224279,32013,293.21,2054.19,2,224279,0,224279,32013,293.21,128.39,2054.19,0,0.00,8.00,0.00
17,0,256296,32017,293.25,2347.44,2,256296,0,256296,32017,293.25,138.08,2347.44,0,0.00,8.00,0.00
18,0,288387,32091,293.92,2641.36,2,288387,0,288387,32091,293.92,146.74,2641.36,0,0.00,8.00,0.00
