Java HotSpot(TM) 64-Bit Server VM (25.131-b11) for linux-amd64 JRE (1.8.0_131-b11), built on Mar 15 2017 01:23:40 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
Memory: 4k page, physical 196649792k(188996260k free), swap 3905532k(3905532k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=201369391104 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseParallelGC 
2021-04-01T05:39:07.513+0200: 1.314: [GC (Metadata GC Threshold) [PSYoungGen: 325382K->19368K(611840K)] 325382K->19448K(2010112K), 0.0170126 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
2021-04-01T05:39:07.530+0200: 1.331: [Full GC (Metadata GC Threshold) [PSYoungGen: 19368K->0K(611840K)] [ParOldGen: 80K->18181K(890880K)] 19448K->18181K(1502720K), [Metaspace: 20794K->20794K(22528K)], 0.0321967 secs] [Times: user=0.61 sys=0.00, real=0.04 secs] 
2021-04-01T05:39:08.422+0200: 2.223: [GC (Allocation Failure) [PSYoungGen: 524800K->36981K(796160K)] 542981K->55171K(1687040K), 0.0239531 secs] [Times: user=0.54 sys=0.01, real=0.02 secs] 
2021-04-01T05:39:08.448+0200: 2.250: [GC (Metadata GC Threshold) [PSYoungGen: 47191K->34622K(1086976K)] 65380K->52820K(1977856K), 0.0156565 secs] [Times: user=0.52 sys=0.03, real=0.02 secs] 
2021-04-01T05:39:08.464+0200: 2.265: [Full GC (Metadata GC Threshold) [PSYoungGen: 34622K->0K(1086976K)] [ParOldGen: 18197K->39260K(987136K)] 52820K->39260K(2074112K), [Metaspace: 34887K->34887K(36864K)], 0.0287079 secs] [Times: user=0.33 sys=0.03, real=0.03 secs] 
2021-04-01T05:39:09.115+0200: 2.917: [GC (Allocation Failure) [PSYoungGen: 999936K->87034K(1547264K)] 1039196K->184479K(2534400K), 0.0347550 secs] [Times: user=1.12 sys=0.08, real=0.03 secs] 
2021-04-01T05:39:11.242+0200: 5.044: [GC (Allocation Failure) [PSYoungGen: 1547258K->87008K(1547264K)] 1644703K->328291K(2534400K), 0.0450367 secs] [Times: user=1.19 sys=0.13, real=0.04 secs] 
2021-04-01T05:39:12.950+0200: 6.751: [GC (Allocation Failure) [PSYoungGen: 1547232K->99769K(2828800K)] 1788515K->341060K(3815936K), 0.0277929 secs] [Times: user=0.65 sys=0.06, real=0.03 secs] 
